WaistSide,WaistFront,WaistCircumference
270,333,982
243,352,976
211,302,845
231,308,884
278,344,966
197,268,741
260,362,996
243,328,931
255,323,929
253,340,923
269,339,962
252,320,928
237,331,934
231,313,872
239,314,907
265,343,974
222,331,887
210,323,875
219,308,848
256,320,921
274,335,993
220,304,852
202,297,802
184,274,764
241,314,885
218,301,861
247,333,948
230,310,855
194,277,767
215,329,898
217,310,853
243,306,896
235,346,941
202,310,834
258,334,949
258,367,1038
197,280,771
208,277,786
235,312,889
247,320,925
257,375,1024
224,306,865
218,290,816
246,350,976
238,334,945
216,312,891
226,318,883
271,338,1029
285,372,1056
227,327,920
280,344,995
264,329,958
230,345,928
216,275,792
233,275,845
245,330,939
255,345,980
282,349,1051
206,288,807
214,262,762
264,347,972
238,318,907
254,345,994
232,337,915
204,288,806
184,262,720
230,324,888
259,368,1033
233,329,901
213,271,785
257,351,1004
205,270,773
182,247,694
218,309,839
214,305,830
214,287,791
234,306,869
222,300,828
230,345,928
227,335,919
197,281,745
217,318,875
238,360,967
241,337,967
274,332,990
233,318,892
223,325,919
240,325,925
234,285,846
265,355,1007
267,342,993
233,322,915
202,265,741
204,286,769
230,302,849
247,340,961
257,347,967
203,279,874
203,325,866
199,258,719
195,282,795
332,404,1173
203,295,803
202,291,803
243,341,938
257,357,991
193,290,773
252,353,1001
234,326,908
234,326,916
212,302,818
245,314,903
216,308,852
254,350,968
239,337,944
202,311,838
216,309,845
233,320,891
212,322,876
258,330,956
225,302,862
186,292,767
214,318,856
211,285,809
244,307,904
208,295,801
253,353,989
181,271,729
231,329,923
237,342,942
209,285,792
208,293,809
223,323,892
216,330,894
189,274,757
205,293,815
201,268,743
260,343,985
210,284,784
199,266,751
252,354,994
200,298,801
225,318,875
203,287,774
237,306,886
244,326,926
230,318,884
224,320,881
258,342,953
240,339,928
258,339,949
206,280,777
237,341,925
171,262,694
221,311,854
210,304,826
188,285,785
227,308,858
242,348,965
234,304,873
249,361,996
205,275,769
260,346,978
251,304,903
204,309,843
230,307,886
217,315,857
231,314,885
229,322,911
217,303,869
181,299,796
254,311,901
199,272,750
185,265,704
180,291,795
252,322,924
188,282,769
193,291,773
228,331,915
222,292,833
204,285,797
225,306,853
194,272,756
253,320,938
248,347,959
201,285,783
243,347,965
236,325,910
215,320,869
216,288,784
249,330,944
177,271,734
216,293,824
227,326,898
278,367,1051
238,333,937
203,301,826
212,327,860
225,335,910
219,317,870
220,325,883
212,289,795
254,343,999
223,310,874
201,294,807
233,290,819
201,280,765
262,360,1010
250,332,953
193,262,735
213,292,820
183,280,750
224,304,852
217,306,844
196,302,809
191,270,742
241,335,933
220,291,853
264,381,1047
208,276,779
230,340,917
248,374,1043
216,330,879
204,298,813
212,287,807
234,296,852
220,308,842
252,308,985
201,284,782
235,309,878
232,309,882
203,268,751
190,279,745
247,364,1006
211,302,822
222,305,842
192,300,813
224,308,885
212,291,831
212,308,857
252,332,963
263,320,959
214,332,907
187,271,759
234,326,908
207,276,785
203,285,792
185,263,727
194,278,759
221,327,875
228,319,918
238,338,927
289,380,1088
191,304,805
230,324,892
251,327,949
217,284,808
200,286,789
208,298,822
183,281,745
240,300,874
192,250,701
229,292,819
232,320,896
235,296,882
215,324,883
209,293,805
208,299,814
285,356,1040
202,295,841
224,310,855
224,319,889
217,304,849
228,314,878
205,307,835
204,277,773
220,302,837
240,323,917
194,275,778
246,336,943
257,388,1042
192,274,752
222,286,801
257,341,979
243,313,903
241,330,925
233,342,954
217,309,844
237,277,846
242,324,897
246,344,953
217,301,850
242,293,859
293,352,1030
226,328,885
302,342,1037
249,355,967
195,288,809
217,306,830
243,307,888
214,324,854
210,308,835
251,347,969
204,298,813
223,300,848
229,322,896
208,274,783
211,282,789
207,291,806
227,296,836
200,281,782
222,327,873
221,317,877
187,245,681
203,298,814
265,367,1017
228,324,903
197,265,753
228,282,825
217,298,803
191,266,737
242,332,932
211,324,883
217,307,850
214,289,802
247,320,911
232,320,915
233,341,939
245,345,966
252,348,962
222,316,869
225,314,884
205,281,781
178,280,740
222,291,833
256,336,961
208,277,801
225,316,872
212,309,842
227,324,910
211,323,859
227,315,877
224,295,845
243,357,982
234,324,910
193,255,726
254,352,979
210,310,855
210,285,802
192,292,772
199,293,804
216,293,805
210,295,831
236,339,935
265,334,940
205,283,770
221,312,853
226,317,883
248,337,956
239,309,896
230,337,921
188,290,782
203,274,785
235,335,913
185,277,735
224,284,846
204,276,771
258,342,980
187,277,753
218,287,824
207,280,781
203,289,815
250,340,955
231,294,845
248,328,914
238,335,947
197,260,750
229,328,923
246,330,955
243,316,877
215,325,872
212,302,840
268,374,1037
203,284,794
198,277,781
200,260,720
198,298,788
233,318,895
250,323,907
222,314,899
229,318,883
240,317,900
222,310,859
206,268,739
241,317,894
247,296,890
241,322,925
232,335,923
203,281,772
215,323,867
282,388,1074
256,355,955
214,297,839
188,259,727
200,294,802
228,294,857
233,322,900
212,324,878
194,254,715
223,328,876
215,284,804
214,295,800
279,372,1051
244,317,908
220,292,832
267,332,987
225,299,852
244,347,935
209,296,805
211,276,762
300,389,1087
242,327,933
221,292,835
222,344,929
227,295,864
210,284,782
192,277,742
208,305,838
182,254,690
213,282,801
225,311,864
194,278,771
205,287,801
223,302,858
210,297,809
232,322,819
249,327,935
235,338,950
224,302,834
250,325,923
285,373,1076
192,286,786
302,364,1085
229,328,907
225,326,901
196,235,698
215,315,846
218,287,812
263,331,974
231,306,884
254,318,931
227,299,862
207,285,773
251,354,981
206,290,799
212,284,795
210,282,778
280,356,1024
159,256,679
247,341,941
299,347,1039
247,314,898
193,259,718
221,316,878
221,326,901
208,322,862
203,275,774
176,248,675
258,369,1021
174,254,697
203,280,766
188,290,775
245,312,895
245,315,911
257,303,923
185,265,720
212,304,835
197,296,806
238,298,885
215,273,777
203,293,807
230,307,879
214,291,788
228,323,875
259,334,945
217,290,834
275,347,983
205,289,803
207,291,819
226,306,831
251,344,949
224,323,871
204,269,752
228,321,898
261,334,961
282,333,994
214,300,833
233,300,857
272,330,988
